time,T1,T2,T3
0,23.93,23.54,23.95
20,24.54,23.56,23.93
40,26.12,23.88,24.1
60,27.63,24.34,24.49
80,28.93,24.88,25.05
100,30,25.49,25.68
120,30.98,26.1,26.41
140,31.9,26.78,27.2
160,32.8,27.44,27.95
180,33.71,28.17,28.73
200,31.98,28.46,29.29
220,31.56,28.61,29.93
240,31.22,28.66,30.34
260,30.93,28.68,30.46
280,30.73,28.73,30.51
300,30.63,28.78,30.54
320,30.56,28.85,30.51
340,30.49,28.88,30.49
360,30.46,28.93,30.44
380,30.41,28.93,30.39
400,30.34,28.95,30.37
420,30.32,28.95,30.34
440,30.29,28.98,30.29
460,30.27,28.98,30.27
480,30.22,28.98,30.22
500,30.2,28.95,30.2
520,30.17,28.95,30.17
