time,T1,T2,T3
0,23.07,22.85,23
20,25.32,22.83,21.1
40,26.44,23,20.78
60,27.46,23.17,20.63
80,28.41,23.44,20.59
100,29.07,23.73,20.63
120,29.63,24,20.76
140,30.15,24.29,20.9
160,30.61,24.56,21.07
180,30.95,24.88,21.27
200,31.27,25.1,21.39
220,31.56,25.29,21.59
240,31.85,25.54,21.78
260,31.49,25.73,21.98
280,30.24,25.66,22.05
300,29.07,25.44,22.05
320,28,25.05,21.85
340,27,24.61,21.63
360,25.95,24.15,21.34
380,25.29,23.66,21
400,24.66,23.24,20.68
420,24.07,22.78,20.37
440,23.49,22.41,20.02
460,22.95,21.98,19.68
480,22.46,21.56,19.32
500,22.56,21.29,19
520,23.59,21.22,18.76
540,24.66,21.41,18.66
560,25.68,21.71,18.73
580,26.56,22.05,18.85
600,27.24,22.37,19
620,27.9,22.71,19.2
640,28.49,23.07,19.44
660,28.98,23.39,19.68
680,29.46,23.73,19.93
700,29.9,24.02,20.17
720,30.29,24.34,20.44
740,30.1,24.51,20.66
760,28.95,24.44,20.8
780,27.76,24.17,20.78
800,26.63,23.8,20.66
820,25.66,23.41,20.46
840,24.83,22.98,20.22
860,24.05,22.54,19.9
880,23.41,22.15,19.63
900,22.85,21.71,19.32
920,22.32,21.32,18.98
940,21.78,20.95,18.71
960,21.32,20.56,18.37
980,21.56,20.32,18.05
1000,22.59,20.34,17.85
1020,23.66,20.54,17.78
1040,24.78,20.88,17.85
1060,25.66,21.22,18.02
1080,26.41,21.56,18.22
1100,27.12,21.93,18.49
1120,27.66,22.27,18.68
1140,28.17,22.61,18.93
1160,28.61,22.93,19.22
1180,29.05,23.32,19.49
1200,29.46,23.59,19.73
1220,29.27,23.83,19.98
1240,28.17,23.78,20.15
1260,26.98,23.54,20.15
1280,25.9,23.2,20.02
1300,24.95,22.78,19.85
1320,24.12,22.37,19.63
1340,23.44,21.98,19.37
1360,22.8,21.56,19.07
1380,22.22,21.17,18.76
1400,21.2,20.8,18.44
1420,21.2,20.41,18.17
1440,20.73,20.05,17.85
