epsilon,sigma
0,40.01827699
0.0002061469265,45.36027147
0.0004145844578,51.50922351
0.0006226054473,57.75271891
0.0008308345827,64.08861725
0.001039272114,70.51150191
0.001247293103,76.97791785
0.001455522239,83.4302167
0.001663751624,89.86648023
0.00187198076,96.27453846
0.002080418041,102.6593375
0.002288647426,109.0049279
0.002496876562,115.2897837
0.002704897551,121.495907
0.002913125937,127.5850476
0.003121564218,133.456315
0.003329585207,139.1316846
0.003538023488,144.3098583
0.003746044478,149.0411683
0.00395448026,153.4351285
0.004162711144,157.6331141
0.004370732134,161.8181074
0.00457896052,166.0388103
0.004787188906,170.3427667
0.00499541979,174.1492292
0.005203855572,177.6336248
0.005412086457,180.8779289
0.005620314843,184.0141674
0.005828335832,186.7267114
0.006036564218,189.3546188
0.006245002499,192.0041171
0.006453023488,194.5945479
0.006661461769,197.0899256
0.006869482759,199.4534316
0.007077918541,201.683324
0.007286149425,203.7674331
0.007494170415,205.7208588
0.007702606197,207.5751216
0.007910627186,209.3344009
0.008118858071,211.0288498
0.008327293853,212.6901227
0.008535524738,214.3024623
0.008743753123,215.9092278
0.008951774113,217.488693
0.009160212394,219.0568358
0.00936844078,220.6179312
0.009576669165,222.1593663
0.00978490005,223.6945888
0.009992921039,225.2283694
0.01020135682,226.7395431
0.01040958771,228.1941867
0.01061781609,229.7121396
0.01082604448,231.2308997
0.01103406547,232.7455921
0.01124250375,234.2416715
0.01145073213,235.7348783
0.01165875312,237.2252099
0.0118671914,238.7041546
0.01207521239,240.1936567
0.01228365067,241.675191
0.01249187906,243.1469917
0.01270010745,244.6300553
0.01290833833,246.1058498
0.01311635682,247.5771398
0.01332458771,249.0553147
0.01353302349,250.5206174
0.01374104698,251.990231
0.01394948526,253.4603286
0.01415750375,254.9270704
0.01436594203,256.3999473
0.01457417041,257.8570053
0.0147824013,259.3180725
0.01499062969,260.7853708
0.01519886057,262.2445655
0.01540708896,263.7132245
0.01561531734,265.1883232
0.01582354573,266.4352369
0.01603177661,268.0206067
0.0162397951,269.4951495
0.01644823338,270.9580501
0.01665646177,272.4342141
0.01686469265,273.8949791
0.01707292354,275.3729114
0.01728094203,276.8477252
0.01748917291,278.3148779
0.0176976087,279.7905603
0.01790583958,281.2608946
0.01811406797,282.730186
0.01832208896,284.2062772
0.01853052724,285.6721228
0.01873875562,287.1435523
0.01894698401,288.610897
0.01915521489,290.0696942
0.01936323338,291.5413732
0.01957167166,293.0107068
0.01977990255,294.4661524
0.01998792354,295.9423992
0.02019636182,297.4112268
0.0204045902,298.8840194
0.02061281859,300.3537336
0.02082104698,301.8199608
0.02102927786,303.291637
0.02123750625,304.7638877
0.02144552724,306.2311646
0.02165375562,307.7171658
0.0218621939,309.193646
0.02207042229,310.6688093
0.02227865317,312.1439385
0.02248667166,313.607983
0.02269510995,315.0922587
0.02290334083,316.5699267
0.02311136182,318.0434234
0.0233198001,319.5275991
0.02352781859,321.0044836
0.02373625687,322.4845182
