n,A
1,1
2,0.0005169358015
3,0.1123719968
4,0.002756990941
5,0.04347183931
6,0.00135387948
7,0.01959432848
8,0.002732374951
9,0.01038794801
10,0.001378495471
11,0.008418668767
12,0.001452343442
13,0.005612445845
14,0.001993895234
15,0.004160102403
16,0.001846199291
17,0.003200078771
18,0.00226467113
19,0.002535447026
20,0.004332414336
21,0.002486215045
22,0.001009255612
23,0.0005907837731
24,0.001427727452
25,0.00132926349
26,0.002978534856
27,0.00179696731
28,0.002141591178
29,0.001944663253
30,0.001304647499
31,0.002387751083
32,0.00403702245
33,0.002806222922
34,0.004627806223
35,0.001969279244
36,0.002313903111
37,0.003298542733
38,0.002535447026
39,0.002781606932
40,0.004627806223
41,0.001280031508
42,0.0009846396219
43,0.002756990941
44,0.0005907837731
45,0.001107719575
46,0.005095510043
47,0.002904686885
48,0.003766246554
49,0.001107719575
50,0.001230799527
51,0.002880070894
52,0.0008861756597
53,0.001723119338
54,0.0006646317448
55,0.00359393462
56,0.001058487594
57,0.002756990941
58,0.002904686885
59,0.002338519102
60,0.002855454904
