f,I/I_max
0.1,0.004651162791
1,0.03953488372
1.5,0.06395348837
2,0.0988372093
2.4,0.1453488372
2.7,0.2011627907
2.9,0.2604651163
3,0.3023255814
3.1,0.3569767442
3.15,0.388372093
3.2,0.4279069767
3.25,0.4709302326
3.32,0.5453488372
3.36,0.5976744186
3.4,0.6534883721
3.42,0.6872093023
3.424,0.6918604651
3.43,0.7023255814
3.44,0.7162790698
3.48,0.7860465116
3.5,0.8197674419
3.52,0.8581395349
3.54,0.8918604651
3.56,0.9186046512
3.58,0.9488372093
3.61,0.9872093023
3.62,0.9918604651
3.64,0.9988372093
3.66,1
3.68,0.9790697674
3.68,0.9988372093
3.7,0.9837209302
3.8,0.8546511628
3.9,0.6941860465
3.91,0.6813953488
4,0.5709302326
4.1,0.4779069767
4.2,0.4081395349
4.3,0.3569767442
4.5,0.2848837209
5,0.1906976744
6,0.1162790698
8,0.06744186047
10,0.04651162791
