f,θ,P
1,-1.29293993,0.001119123166
2,-0.9443887776,0.005838932108
2.8,-0.4932517139,0.01828536349
3,-0.446603805,0.02305305307
3.16,-0.3085460398,0.02869761632
3.163,-0.3037884145,0.02885531292
3.17,-0.301539276,0.02910475674
3.18,-0.2946664839,0.02951076687
3.2,-0.2823278346,0.03019527546
3.3,-0.2172080265,0.03398230218
3.5,-0.08826563798,0.04052163752
3.62,-0.01553547321,0.04247487381
3.64,-0.00337077375,0.04271975731
3.646,0,0.04272
3.65,0.002801113122,0.04283983193
3.67,0.01680514052,0.04283395086
3.8,0.09195892518,0.04146406087
4,0.2042319978,0.03630936769
4.2,0.3058788714,0.03043835867
4.25,0.3323011594,0.02892600144
4.27,0.3395001695,0.02851393814
4.5,0.4444192099,0.02275208507
5,0.6276294258,0.01486098513
5.5,0.7704738984,0.01024705228
7,1.026677707,0.004472618665
10,1.253242242,0.001498770587
